row-number,field,issue-type,value
1,geography,default,BR1
1,entry-date,default,2021-04-22
2,geography,default,BR2
2,entry-date,default,2021-04-22
3,geography,default,BR4
3,entry-date,default,2021-04-22
4,geography,default,BR5
4,entry-date,default,2021-04-22
5,geography,default,BR14
5,entry-date,default,2021-04-22
6,geography,default,BR16
6,entry-date,default,2021-04-22
7,geography,default,BR17
7,entry-date,default,2021-04-22
8,geography,default,BR18
8,entry-date,default,2021-04-22
9,geography,default,BR20
9,entry-date,default,2021-04-22
10,geography,default,BR21
10,entry-date,default,2021-04-22
11,geography,default,BR22
11,entry-date,default,2021-04-22
12,geography,default,BR24
12,entry-date,default,2021-04-22
13,geography,default,BR25
13,entry-date,default,2021-04-22
14,geography,default,BR29
14,entry-date,default,2021-04-22
15,geography,default,BR33
15,entry-date,default,2021-04-22
16,geography,default,BR34
16,entry-date,default,2021-04-22
17,geography,default,BR35
17,entry-date,default,2021-04-22
18,geography,default,BR36
18,entry-date,default,2021-04-22
19,geography,default,BR37
19,entry-date,default,2021-04-22
20,geography,default,BR38
20,entry-date,default,2021-04-22
21,geography,default,BR39
21,entry-date,default,2021-04-22
22,geography,default,BR42
22,entry-date,default,2021-04-22
23,geography,default,BR43
23,entry-date,default,2021-04-22
24,geography,default,BR44
24,entry-date,default,2021-04-22
25,geography,default,BR45
25,entry-date,default,2021-04-22
26,geography,default,BR46
26,entry-date,default,2021-04-22
27,geography,default,BR50
27,entry-date,default,2021-04-22
28,geography,default,BR52
28,entry-date,default,2021-04-22
29,geography,default,BR53
29,entry-date,default,2021-04-22
30,geography,default,BR57
30,entry-date,default,2021-04-22
31,geography,default,BR58
31,entry-date,default,2021-04-22
32,geography,default,BR60
32,entry-date,default,2021-04-22
33,geography,default,BR61
33,entry-date,default,2021-04-22
34,geography,default,BR63
34,entry-date,default,2021-04-22
35,geography,default,BR65
35,entry-date,default,2021-04-22
36,geography,default,BR67
36,entry-date,default,2021-04-22
37,geography,default,BR69
37,entry-date,default,2021-04-22
38,geography,default,BR70
38,entry-date,default,2021-04-22
39,geography,default,BR80
39,entry-date,default,2021-04-22
40,geography,default,BR84
40,entry-date,default,2021-04-22
41,geography,default,BR86
41,entry-date,default,2021-04-22
42,geography,default,BR87
42,entry-date,default,2021-04-22
43,geography,default,BR89
43,entry-date,default,2021-04-22
44,geography,default,BR90
44,entry-date,default,2021-04-22
45,geography,default,BR97
45,entry-date,default,2021-04-22
46,geography,default,BR102
46,entry-date,default,2021-04-22
47,geography,default,BR108
47,entry-date,default,2021-04-22
48,geography,default,BR109
48,entry-date,default,2021-04-22
49,geography,default,BR110
49,entry-date,default,2021-04-22
50,geography,default,BR111
50,entry-date,default,2021-04-22
51,geography,default,BR112
51,entry-date,default,2021-04-22
52,geography,default,BR113
52,entry-date,default,2021-04-22
53,geography,default,BR114
53,entry-date,default,2021-04-22
54,geography,default,BR115
54,entry-date,default,2021-04-22
55,geography,default,BR116
55,entry-date,default,2021-04-22
56,geography,default,BR117
56,entry-date,default,2021-04-22
57,geography,default,BR118
57,entry-date,default,2021-04-22
58,geography,default,BR119
58,entry-date,default,2021-04-22
59,geography,default,BR120
59,entry-date,default,2021-04-22
60,geography,default,BR121
60,entry-date,default,2021-04-22
61,geography,default,BR122
61,entry-date,default,2021-04-22
62,geography,default,BR124
62,entry-date,default,2021-04-22
63,geography,default,BR125
63,entry-date,default,2021-04-22
64,geography,default,BR126
64,entry-date,default,2021-04-22
65,geography,default,BR127
65,entry-date,default,2021-04-22
66,geography,default,BR128
66,entry-date,default,2021-04-22
67,geography,default,BR129
67,entry-date,default,2021-04-22
68,geography,default,BR130
68,entry-date,default,2021-04-22
69,geography,default,BR131
69,entry-date,default,2021-04-22
70,geography,default,BR132
70,entry-date,default,2021-04-22
71,geography,default,BR133
71,entry-date,default,2021-04-22
72,geography,default,BR134
72,entry-date,default,2021-04-22
73,geography,default,BR135
73,entry-date,default,2021-04-22
74,geography,default,BR136
74,entry-date,default,2021-04-22
75,geography,default,BR137
75,entry-date,default,2021-04-22
76,geography,default,BR138
76,entry-date,default,2021-04-22
77,geography,default,BR139
77,entry-date,default,2021-04-22
78,geography,default,BR140
78,entry-date,default,2021-04-22
79,geography,default,BR141
79,entry-date,default,2021-04-22
80,geography,default,BR142
80,entry-date,default,2021-04-22
81,geography,default,BR143
81,entry-date,default,2021-04-22
82,geography,default,BR144
82,entry-date,default,2021-04-22
83,geography,default,BR145
83,entry-date,default,2021-04-22
84,geography,default,BR146
84,entry-date,default,2021-04-22
85,geography,default,BR147
85,entry-date,default,2021-04-22
86,geography,default,BR148
86,entry-date,default,2021-04-22
87,geography,default,BR149
87,entry-date,default,2021-04-22
88,geography,default,BR150
88,entry-date,default,2021-04-22
89,geography,default,BR151
89,entry-date,default,2021-04-22
90,geography,default,BR152
90,entry-date,default,2021-04-22
91,geography,default,BR153
91,entry-date,default,2021-04-22
92,geography,default,BR154
92,entry-date,default,2021-04-22
93,geography,default,BR155
93,entry-date,default,2021-04-22
94,geography,default,BR156
94,entry-date,default,2021-04-22
95,geography,default,BR157
95,entry-date,default,2021-04-22
96,geography,default,BR158
96,entry-date,default,2021-04-22
97,geography,default,BR159
97,entry-date,default,2021-04-22
98,geography,default,BR160
98,entry-date,default,2021-04-22
99,geography,default,BR161
99,entry-date,default,2021-04-22
100,geography,default,BR162
100,entry-date,default,2021-04-22
101,geography,default,BR163
101,entry-date,default,2021-04-22
102,geography,default,BR164
102,entry-date,default,2021-04-22
103,geography,default,BR165
103,entry-date,default,2021-04-22
104,geography,default,BR166
104,entry-date,default,2021-04-22
105,geography,default,BR167
105,entry-date,default,2021-04-22
106,geography,default,BR168
106,entry-date,default,2021-04-22
107,geography,default,BR169
107,entry-date,default,2021-04-22
108,geography,default,BR170
108,entry-date,default,2021-04-22
109,geography,default,BR171
109,entry-date,default,2021-04-22
110,geography,default,BR172
110,entry-date,default,2021-04-22
111,geography,default,BR173
111,entry-date,default,2021-04-22
112,geography,default,BR174
112,entry-date,default,2021-04-22
113,geography,default,BR175
113,entry-date,default,2021-04-22
114,geography,default,BR176
114,entry-date,default,2021-04-22
115,geography,default,BR177
115,entry-date,default,2021-04-22
116,geography,default,BR178
116,entry-date,default,2021-04-22
117,geography,default,BR180
117,entry-date,default,2021-04-22
118,geography,default,BR181
118,entry-date,default,2021-04-22
119,geography,default,BR182
119,entry-date,default,2021-04-22
120,geography,default,BR183
120,entry-date,default,2021-04-22
121,geography,default,BR184
121,entry-date,default,2021-04-22
122,geography,default,BR185
122,entry-date,default,2021-04-22
123,geography,default,BR186
123,entry-date,default,2021-04-22
124,geography,default,BR187
124,entry-date,default,2021-04-22
125,geography,default,BR188
125,entry-date,default,2021-04-22
126,geography,default,BR189
126,entry-date,default,2021-04-22
127,geography,default,BR190
127,entry-date,default,2021-04-22
128,geography,default,BR191
128,entry-date,default,2021-04-22
129,geography,default,BR192
129,entry-date,default,2021-04-22
130,geography,default,BR193
130,entry-date,default,2021-04-22
131,geography,default,BR194
131,entry-date,default,2021-04-22
132,geography,default,BR195
132,entry-date,default,2021-04-22
133,geography,default,BR196
133,entry-date,default,2021-04-22
134,geography,default,BR197
134,entry-date,default,2021-04-22
135,geography,default,BR198
135,entry-date,default,2021-04-22
136,geography,default,BR199
136,entry-date,default,2021-04-22
137,geography,default,BR200
137,entry-date,default,2021-04-22
138,geography,default,BR201
138,entry-date,default,2021-04-22
139,geography,default,BR202
139,entry-date,default,2021-04-22
140,geography,default,BR203
140,entry-date,default,2021-04-22
141,geography,default,BR204
141,entry-date,default,2021-04-22
